"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
"South Georgia and the Islands","iNEXT",1,1,0,1,1,"1",NA,20
"Svalbard Islands","iNEXT",1,1,0,1,1,"1",NA,21
"Tokelau","iNEXT",1,1,0,1,1,"1",NA,22
"Turks and Caicos Islands","iNEXT",1,1,0,1,1,"1",NA,22
"United States Minor Outlying Islands","iNEXT",1,1,0,1,1,"1",NA,23
"Vatican","iNEXT",1,1,0,1,1,"1",NA,24
"Wallis and Futuna","iNEXT",1,1,0,1,1,"7",NA,24
"British Indian Ocean Territory","iNEXT",1,1,0,1,1,"4",NA,3
"Caribbean Netherlands","iNEXT",1,1,0,1,1,"1",NA,4
"Cocos Islands","iNEXT",1,1,0,1,1,"1",NA,5
"Falkland Islands / Malvinas","iNEXT",1,1,0,1,1,"1",NA,7
"Heard I. and McDonald Islands","iNEXT",1,1,0,1,1,"1",NA,10
"Niue","iNEXT",1,1,0,1,1,"1",NA,16
"Norfolk Island","iNEXT",1,1,0,1,1,"1",NA,16
"Pitcairn Islands","iNEXT",1,1,0,1,1,"1",NA,17
"Saint Helena","iNEXT",1,1,0,1,1,"3",NA,18
"Saint-Barthélemy","iNEXT",1,1,0,1,1,"1",NA,19
